region,date,price
Брестская,2022-08-01,1.28
Витебская,2022-08-01,1.26
Гомельская,2022-08-01,1.14
Гродненская,2022-08-01,1.12
г. Минск,2022-08-01,1.24
Минская,2022-08-01,1.24
Могилевская,2022-08-01,1.08
Беларусь,2022-09-01,0.97
Брестская,2022-09-01,1.01
Витебская,2022-09-01,0.97
Гомельская,2022-09-01,0.94
Гродненская,2022-09-01,1.02
г. Минск,2022-09-01,0.99
Минская,2022-09-01,0.94
Могилевская,2022-09-01,0.92
Беларусь,2022-10-01,0.92
Брестская,2022-10-01,0.93
Витебская,2022-10-01,0.89
Гомельская,2022-10-01,0.89
Гродненская,2022-10-01,0.93
г. Минск,2022-10-01,0.96
Минская,2022-10-01,0.94
Могилевская,2022-10-01,0.85
Беларусь,2022-11-01,0.91
Брестская,2022-11-01,0.89
Витебская,2022-11-01,0.87
Гомельская,2022-11-01,0.87
Гродненская,2022-11-01,0.85
г. Минск,2022-11-01,0.98
Минская,2022-11-01,0.95
Могилевская,2022-11-01,0.84
Беларусь,2022-12-01,0.96
Брестская,2022-12-01,0.97
Витебская,2022-12-01,0.93
Гомельская,2022-12-01,0.88
Гродненская,2022-12-01,0.94
г. Минск,2022-12-01,1.03
Минская,2022-12-01,0.98
Могилевская,2022-12-01,0.87
Беларусь,2023-01-01,1.0
Брестская,2023-01-01,1.01
Витебская,2023-01-01,0.98
Гомельская,2023-01-01,0.91
Гродненская,2023-01-01,0.96
г. Минск,2023-01-01,1.1
Минская,2023-01-01,0.99
Могилевская,2023-01-01,0.9
Беларусь,2023-02-01,1.03
Брестская,2023-02-01,1.03
Витебская,2023-02-01,1.0
Гомельская,2023-02-01,0.93
Гродненская,2023-02-01,0.98
г. Минск,2023-02-01,1.17
Минская,2023-02-01,1.0
Могилевская,2023-02-01,0.94
Беларусь,2023-03-01,1.03
Брестская,2023-03-01,1.03
Витебская,2023-03-01,0.98
Гомельская,2023-03-01,0.94
Гродненская,2023-03-01,0.92
г. Минск,2023-03-01,1.17
Минская,2023-03-01,1.02
Могилевская,2023-03-01,0.94
Беларусь,2023-04-01,1.03
Брестская,2023-04-01,1.01
Витебская,2023-04-01,0.97
Гомельская,2023-04-01,0.97
Гродненская,2023-04-01,0.93
г. Минск,2023-04-01,1.19
Минская,2023-04-01,1.02
Могилевская,2023-04-01,0.94
Беларусь,2023-05-01,1.03
Брестская,2023-05-01,0.97
Витебская,2023-05-01,0.97
Гомельская,2023-05-01,0.98
Гродненская,2023-05-01,0.97
г. Минск,2023-05-01,1.16
Минская,2023-05-01,1.02
Могилевская,2023-05-01,0.9
Беларусь,2023-06-01,1.4
Брестская,2023-06-01,1.48
Витебская,2023-06-01,1.46
Гомельская,2023-06-01,1.41
Гродненская,2023-06-01,1.6
г. Минск,2023-06-01,1.43
Минская,2023-06-01,1.3
Могилевская,2023-06-01,1.06
Беларусь,2023-07-01,1.64
Брестская,2023-07-01,1.64
Витебская,2023-07-01,1.61
Гомельская,2023-07-01,1.62
Гродненская,2023-07-01,1.61
г. Минск,2023-07-01,1.81
Минская,2023-07-01,1.62
Могилевская,2023-07-01,1.32
Беларусь,2023-08-01,1.15
Брестская,2023-08-01,1.18
Витебская,2023-08-01,1.08
Гомельская,2023-08-01,1.07
Гродненская,2023-08-01,1.13
г. Минск,2023-08-01,1.22
Минская,2023-08-01,1.17
Могилевская,2023-08-01,1.05
Беларусь,2023-09-01,0.94
Брестская,2023-09-01,0.94
Витебская,2023-09-01,0.83
Гомельская,2023-09-01,0.87
Гродненская,2023-09-01,0.91
г. Минск,2023-09-01,1.08
Минская,2023-09-01,0.93
Могилевская,2023-09-01,0.84
Беларусь,2023-10-01,0.77
Брестская,2023-10-01,0.81
Витебская,2023-10-01,0.7
Гомельская,2023-10-01,0.69
Гродненская,2023-10-01,0.76
г. Минск,2023-10-01,0.82
Минская,2023-10-01,0.8
Могилевская,2023-10-01,0.7
Беларусь,2023-11-01,0.75
Брестская,2023-11-01,0.69
Витебская,2023-11-01,0.73
Гомельская,2023-11-01,0.68
Гродненская,2023-11-01,0.72
г. Минск,2023-11-01,0.86
Минская,2023-11-01,0.77
Могилевская,2023-11-01,0.67
Беларусь,2023-12-01,0.84
Брестская,2023-12-01,0.72
Витебская,2023-12-01,0.77
Гомельская,2023-12-01,0.7
Гродненская,2023-12-01,0.77
г. Минск,2023-12-01,1.08
Минская,2023-12-01,0.83
Могилевская,2023-12-01,0.7
Беларусь,2024-01-01,0.9
Брестская,2024-01-01,0.77
Витебская,2024-01-01,0.84
Гомельская,2024-01-01,0.72
Гродненская,2024-01-01,0.82
г. Минск,2024-01-01,1.15
Минская,2024-01-01,0.9
Могилевская,2024-01-01,0.73
Беларусь,2024-02-01,0.9
Брестская,2024-02-01,0.77
Витебская,2024-02-01,0.82
Гомельская,2024-02-01,0.74
Гродненская,2024-02-01,0.84
г. Минск,2024-02-01,1.16
Минская,2024-02-01,0.9
Могилевская,2024-02-01,0.73
Беларусь,2024-03-01,0.89
Брестская,2024-03-01,0.76
Витебская,2024-03-01,0.76
Гомельская,2024-03-01,0.75
Гродненская,2024-03-01,0.77
г. Минск,2024-03-01,1.16
Минская,2024-03-01,0.88
Могилевская,2024-03-01,0.73
Беларусь,2024-04-01,0.88
Брестская,2024-04-01,0.77
Витебская,2024-04-01,0.78
Гомельская,2024-04-01,0.78
Гродненская,2024-04-01,0.8
г. Минск,2024-04-01,1.08
Минская,2024-04-01,0.88
Могилевская,2024-04-01,0.76
Беларусь,2024-05-01,0.98
Брестская,2024-05-01,0.89
Витебская,2024-05-01,0.85
Гомельская,2024-05-01,0.8
Гродненская,2024-05-01,0.82
г. Минск,2024-05-01,1.28
Минская,2024-05-01,0.97
Могилевская,2024-05-01,0.81
Беларусь,2024-06-01,2.07
Брестская,2024-06-01,2.16
Витебская,2024-06-01,1.62
Гомельская,2024-06-01,1.42
Гродненская,2024-06-01,2.46
г. Минск,2024-06-01,2.76
Минская,2024-06-01,2.04
Могилевская,2024-06-01,1.02
Беларусь,2024-07-01,1.9
Брестская,2024-07-01,1.83
Витебская,2024-07-01,1.86
Гомельская,2024-07-01,1.9
Гродненская,2024-07-01,1.94
г. Минск,2024-07-01,2.01
Минская,2024-07-01,2.0
Могилевская,2024-07-01,1.57
Беларусь,2024-08-01,1.43
Брестская,2024-08-01,1.38
Витебская,2024-08-01,1.33
Гомельская,2024-08-01,1.37
Гродненская,2024-08-01,1.41
г. Минск,2024-08-01,1.58
Минская,2024-08-01,1.45
Могилевская,2024-08-01,1.29
Беларусь,2024-09-01,1.33
Брестская,2024-09-01,1.24
Витебская,2024-09-01,1.16
Гомельская,2024-09-01,1.22
Гродненская,2024-09-01,1.18
г. Минск,2024-09-01,1.58
Минская,2024-09-01,1.35
Могилевская,2024-09-01,1.24
Беларусь,2024-10-01,1.25
Брестская,2024-10-01,1.28
Витебская,2024-10-01,0.98
Гомельская,2024-10-01,1.27
Гродненская,2024-10-01,1.04
г. Минск,2024-10-01,1.52
Минская,2024-10-01,1.11
Могилевская,2024-10-01,1.12
Беларусь,2024-11-01,1.04
Брестская,2024-11-01,1.13
Витебская,2024-11-01,0.99
Гомельская,2024-11-01,1.0
Гродненская,2024-11-01,0.99
г. Минск,2024-11-01,1.09
Минская,2024-11-01,1.0
Могилевская,2024-11-01,1.02
Беларусь,2024-12-01,1.09
Брестская,2024-12-01,1.17
Витебская,2024-12-01,1.04
Гомельская,2024-12-01,1.06
Гродненская,2024-12-01,1.06
г. Минск,2024-12-01,1.14
Минская,2024-12-01,1.05
Могилевская,2024-12-01,1.06
Беларусь,2025-01-01,1.17
Брестская,2025-01-01,1.21
Витебская,2025-01-01,1.13
Гомельская,2025-01-01,1.15
Гродненская,2025-01-01,1.14
г. Минск,2025-01-01,1.23
Минская,2025-01-01,1.14
Могилевская,2025-01-01,1.1
Беларусь,2025-02-01,1.17
Брестская,2025-02-01,1.21
Витебская,2025-02-01,1.11
Гомельская,2025-02-01,1.17
Гродненская,2025-02-01,1.13
г. Минск,2025-02-01,1.27
Минская,2025-02-01,1.1
Могилевская,2025-02-01,1.11
Беларусь,2025-03-01,1.2
Брестская,2025-03-01,1.24
Витебская,2025-03-01,1.12
Гомельская,2025-03-01,1.31
Гродненская,2025-03-01,1.11
г. Минск,2025-03-01,1.29
Минская,2025-03-01,1.11
Могилевская,2025-03-01,1.11
Беларусь,2025-04-01,1.54
Брестская,2025-04-01,1.61
Витебская,2025-04-01,1.36
Гомельская,2025-04-01,1.43
Гродненская,2025-04-01,1.22
г. Минск,2025-04-01,2.02
Минская,2025-04-01,1.33
Могилевская,2025-04-01,1.19
Беларусь,2025-05-01,2.01
Брестская,2025-05-01,2.0
Витебская,2025-05-01,1.82
Гомельская,2025-05-01,2.35
Гродненская,2025-05-01,1.46
г. Минск,2025-05-01,2.17
Минская,2025-05-01,1.85
Могилевская,2025-05-01,2.12
Беларусь,2025-06-01,3.13
Брестская,2025-06-01,3.95
Витебская,2025-06-01,2.41
Гомельская,2025-06-01,3.45
Гродненская,2025-06-01,2.11
г. Минск,2025-06-01,3.83
Минская,2025-06-01,2.61
Могилевская,2025-06-01,2.31
Беларусь,2025-07-01,2.62
Брестская,2025-07-01,2.87
Витебская,2025-07-01,2.45
Гомельская,2025-07-01,2.36
Гродненская,2025-07-01,2.47
г. Минск,2025-07-01,2.87
Минская,2025-07-01,2.47
Могилевская,2025-07-01,2.55
Беларусь,2025-08-01,1.46
Брестская,2025-08-01,1.55
Витебская,2025-08-01,1.35
Гомельская,2025-08-01,1.35
Гродненская,2025-08-01,1.44
г. Минск,2025-08-01,1.59
Минская,2025-08-01,1.34
Могилевская,2025-08-01,1.5
Беларусь,2025-09-01,1.18
Брестская,2025-09-01,1.22
Витебская,2025-09-01,1.13
Гомельская,2025-09-01,1.13
Гродненская,2025-09-01,1.07
г. Минск,2025-09-01,1.29
Минская,2025-09-01,1.13
Могилевская,2025-09-01,1.13
Беларусь,2025-10-01,1.25
Брестская,2025-10-01,1.25
Витебская,2025-10-01,1.29
Гомельская,2025-10-01,1.1
Гродненская,2025-10-01,1.13
г. Минск,2025-10-01,1.47
